score
108
62
63
99
90
105
92
108
93
86
104
129
96
102
102
91.5
97
99
101
116
76.5
90
108
96
113
105
76.5
75
96
117
81
99
98
78
93
102.5
65
100
106
72
120
96
91
114
96
106
69
89
105
101
123
117
99
102
96
81
87
102
105
112
81
110
93
102
66
93
108
99
97.5
105
59
86
96.5
132
126
63
92.5
85
88
67
111
78
94
89.5
123
115
73
108
86.5
123
84.5
66
71
91
105
93
94
87
99
108
108
94.5
56
95
108
108
101.5
85
93
96.5
90
99
91
114
100
114
105
75.5
111
123
132
105
74
99
92
123
117
99
117
114
92
109
120
75.5
73
101
81
93.5
59.5
111
129
102
120
99
123
87
108
132
117
111
91.5
78
110
66
107
83.5
51
120
69.5
91.5
111
81
120
89
129
72
105
90.5
105
117
98
75
93
77
99
90
123
108
95
105
57.5
78.5
120
105
99
84.5
93
114
99
114
102
95
99
92
123
120
117
108
108
123
100
73
111
111
114
111
88.5
123
129
123
87
126
105
105
84
102
111
127.5
96
96
108
108
90
121.5
105
99
84
100.5
89
99
108
87
91
